dec 10/11:13:41.001 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:41.003 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:41.005 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:41.007 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:41.009 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:41.011 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:41.013 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:41.015 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:41.017 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:41.020 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:41.022 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:41.024 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:41.026 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:41.028 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:41.030 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:41.032 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:41.034 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:41.036 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:41.038 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:41.040 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:41.043 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:41.045 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:41.047 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:41.049 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:41.051 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:41.053 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:41.055 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:41.058 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:41.060 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:41.062 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:41.064 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:41.066 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:41.068 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:41.071 DEBUG2 : 		ReadTarget32
dec 10/11:13:41.072 DEBUG2 : 		WriteTarget32 Address=0xE000EDFC Data=0x01000000
dec 10/11:13:41.072 DEBUG2 : 		WriteTarget32 Address=0xE0001028 Data=0x00000000
dec 10/11:13:41.073 DEBUG2 : 		WriteTarget32 Address=0xE0001038 Data=0x00000000
dec 10/11:13:41.073 DEBUG2 : 		WriteTarget32 Address=0xE0001048 Data=0x00000000
dec 10/11:13:41.074 DEBUG2 : 		WriteTarget32 Address=0xE0001058 Data=0x00000000
dec 10/11:13:41.074 DEBUG2 : 		STLinkReadReg
dec 10/11:13:41.077 DEBUG2 : 		ReadTarget16
dec 10/11:13:41.078 DEBUG2 : 		ReadTarget32
dec 10/11:13:41.079 DEBUG2 : 		WriteTarget32 Address=0x20000300 Data=0x20006670
dec 10/11:13:41.381 DEBUG2 : 		WriteTarget32 Address=0x2000BD84 Data=0x08000000
dec 10/11:13:41.383 DEBUG2 : 		STLinkWriteReg
dec 10/11:13:41.383 DEBUG2 : 		STLinkReadReg
dec 10/11:13:41.386 DEBUG2 : 		STLinkReadReg
dec 10/11:13:41.386 DEBUG2 : 		STLinkReadReg
dec 10/11:13:41.386 DEBUG2 : 		STLinkReadReg
dec 10/11:13:41.386 DEBUG2 : 		STLinkReadReg
dec 10/11:13:41.386 DEBUG2 : 		STLinkReadReg
dec 10/11:13:41.386 DEBUG2 : 		STLinkReadReg
dec 10/11:13:41.386 DEBUG2 : 		STLinkReadReg
dec 10/11:13:41.386 DEBUG2 : 		STLinkReadReg
dec 10/11:13:41.386 DEBUG2 : 		STLinkReadReg
dec 10/11:13:41.386 DEBUG2 : 		STLinkReadReg
dec 10/11:13:41.386 DEBUG2 : 		STLinkReadReg
dec 10/11:13:41.386 DEBUG2 : 		STLinkReadReg
dec 10/11:13:41.386 DEBUG2 : 		STLinkReadReg
dec 10/11:13:41.386 DEBUG2 : 		STLinkReadReg
dec 10/11:13:41.386 DEBUG2 : 		STLinkReadReg
dec 10/11:13:41.386 DEBUG2 : 		STLinkReadReg
dec 10/11:13:41.386 DEBUG2 : 		STLinkReadReg
dec 10/11:13:41.386 DEBUG2 : 		STLinkReadReg
dec 10/11:13:41.387 DEBUG2 : 		STLinkWriteReg
dec 10/11:13:41.388 DEBUG2 : 		STLinkReadReg
dec 10/11:13:41.391 DEBUG2 : 		ReadTarget16
dec 10/11:13:41.392 DEBUG2 : 		ReadTarget32
dec 10/11:13:41.394 DEBUG2 : 		WriteTarget32 Address=0xE000EDFC Data=0x01000000
