nov 12/21:41:40.528 DEBUG2 : 		WriteTarget32 Address=0xE0001058 Data=0x00000000
nov 12/21:41:40.528 DEBUG2 : 		Go >
nov 12/21:41:40.530 DEBUG2 : 		Go <
nov 12/21:41:40.532 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.534 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.536 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.538 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.540 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.542 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.544 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.546 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.548 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.550 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.552 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.554 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.556 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.558 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.560 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.562 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.564 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.566 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.568 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.570 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.572 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.574 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.576 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.578 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.580 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.582 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.584 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.586 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.588 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.590 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.592 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.594 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.596 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.598 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.600 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.602 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.604 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.606 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.608 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.610 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.612 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.614 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.616 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.618 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.620 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.622 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.624 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.626 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.628 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.630 DEBUG2 : 		STLinkIsCpuHalted
